"orden","campo","filas","no_vacios","vacios","porcentaje_vacios","valores_unicos","valores_frecuentes"
"34","Ubicación_Provincia","6217","6217","0","0","359","Otros [2781] || Leoncio Prado [270] || Oxapampa [228] || Región Ancash [156] || Cajamarca [132]"
"35","Especie_Nombre científico","6217","6217","0","0","42","Otros [5288] || Caesalpinia spinosa [261] || P. pallida [208] || Guazuma crinita [124] || D. micrantha [85]"
"36","ANIFFS: Eje Temático","6217","6217","0","0","76","Manejo, conservación y uso sostenible del recurso forestal [2587] || Plantaciones forestales y sistemas agroforestales [871] || Manejo, conservación y uso sostenible del recurso fauna silvestre [715] || Industria y productos forestales maderables y no maderables [480] || Interculturalidad [223]"
"37","ANIFFS: Área Temática","6217","6217","0","0","171","Gestión y conservación de ecosistemas [1818] || Plantaciones forestales y sistemas agroforestales [727] || Bosques naturales [389] || Manejo de fauna silvestre in situ [319] || Transformación de productos maderables y no maderables [225]"
"38","ANIFFS: Linea de investigación","6217","6217","0","0","709","14 [920] || 13 [340] || 90 [139] || 38 [137] || 41 [135]"
"39","Categoria_Tesis_Articulo","6217","6217","0","0","2","Artículo [3197] || Tesis [3020]"
"40","ID_REGISTRO_ANALISIS","6217","6217","0","0","6217","REG_005599 [1] || REG_005600 [1] || REG_005601 [1] || REG_005595 [1] || REG_005596 [1]"
"41","CLAVE_BIBLIOGRAFICA_MASTER","6217","6217","0","0","6217","BIB::evaluacion biometrico de un bosque primario en el centro de produccion e investigacion pabloyacu || celiz portilla mariela || 2015.0 || Tesis [1] || BIB::evaluacion de abonos organicos en el crecimiento de plantones del genero inga sp con fines de conservacion del bosque en el centro de investigacion pabloyacu unsm t 2017 || cordova flores jean hans || 2018.0 || Tesis [1] || BIB::evaluacion de la captura de carbono durante el 1 ano de crecimiento y desarrollo de 4 especies forestales morupa capirona bolaina y caoba en la estacion experimental el porvenir || angulo panduro neivith y garcia falcon regner antony || 2013.0 || Tesis [1] || BIB::elaboracion y aplicacion de un protocolo de cultivo in vitro para la propagacion de la especie cattleya rex orchidaceae a partir de explantes mediante el sistema de inmersion temporal rita con fines de conservacion en la provincia de moyobamba 2014 || ruiz ramirez julius anthoni || 2016.0 || Tesis [1] || BIB::estimacion del potencial de captura de carbono del bosque natural secundario en el centro de produccion e investigacion pabloyacu || noriega moran jeceli danuci || 2011.0 || Tesis [1]"
"42","USAR_PARA_CONTEO_UNICO","6217","6217","0","0","1","SI [6217]"
"43","TIPO_PUBLICACION_NORM","6217","6217","0","0","3","Artículo [3192] || Tesis [3020] || Artículo de conferencia [5]"
