"dimension","relaciones","publicaciones","publicaciones_multivalor","max_categorias_por_publicacion"
"DIM_REPOSITORIOS","7300","6217","944","4"
"DIM_AREAS_TEMATICAS","7771","6217","1339","4"
"DIM_EJES_TEMATICOS","7236","6217","947","3"
"DIM_LINEAS_INVESTIGACION","8980","6217","2006","8"
"DIM_REGIONES_NORMALIZADAS","6567","6217","281","7"
"DIM_INSTITUCIONES","6394","6217","174","3"
"DIM_BASES_DOCUMENTALES","6546","6217","314","4"
