ID_PUBLICACION_PROPUESTA,TIPO_PROPUESTO,SUBTIPO_PROPUESTO
PUB-000881,Artículo,Artículo científico
PUB-000882,Tesis,Tesis de pregrado
PUB-000883,Tesis,Tesis de pregrado
PUB-000884,Artículo,Artículo científico
PUB-000885,Tesis,Tesis de posgrado no especificada
PUB-000886,Tesis,Tesis de pregrado
PUB-000887,Tesis,Tesis de pregrado
PUB-000888,Tesis,Tesis de pregrado
PUB-000889,Tesis,Tesis de pregrado
PUB-000890,Tesis,Tesis de pregrado
PUB-000891,Tesis,Tesis de pregrado
PUB-000892,Tesis,Tesis de pregrado
PUB-000893,Tesis,Tesis de pregrado
PUB-000894,Tesis,Tesis de pregrado
PUB-000895,Tesis,Tesis de pregrado
PUB-000896,Tesis,Tesis de pregrado
PUB-000897,Tesis,Tesis de pregrado
PUB-000898,Tesis,Tesis de pregrado
PUB-000899,Tesis,Tesis de pregrado
PUB-000900,Artículo,Artículo científico
PUB-000901,Artículo,Artículo científico
PUB-000902,Artículo,Artículo científico
PUB-000903,Artículo,Artículo científico
PUB-000904,Artículo,Artículo científico
PUB-000905,Artículo,Artículo científico
PUB-000906,Publicación de evento científico,Artículo de conferencia
PUB-000907,Tesis,Tesis de pregrado
PUB-000908,Artículo,Artículo científico
PUB-000909,Artículo,Artículo científico
PUB-000910,Artículo,Artículo científico
PUB-000911,Artículo,Artículo científico
PUB-000912,Tesis,Tesis de pregrado
PUB-000913,Tesis,Tesis de pregrado
PUB-000914,Tesis,Tesis de pregrado
PUB-000915,Tesis,Tesis de pregrado
PUB-000916,Tesis,Tesis de pregrado
PUB-000917,Tesis,Tesis de pregrado
PUB-000918,Tesis,Tesis de pregrado
PUB-000919,Tesis,Tesis de posgrado no especificada
PUB-000920,Tesis,Tesis de pregrado
PUB-000921,Tesis,Tesis de pregrado
PUB-000922,Tesis,Tesis de pregrado
PUB-000923,Tesis,Tesis de pregrado
PUB-000924,Tesis,Tesis de pregrado
PUB-000925,Tesis,Tesis de pregrado
PUB-000926,Tesis,Tesis de pregrado
PUB-000927,Tesis,Tesis de pregrado
PUB-000928,Tesis,Tesis de pregrado
PUB-000929,Tesis,Tesis de pregrado
PUB-000930,Tesis,Tesis de pregrado
PUB-000931,Tesis,Tesis de pregrado
PUB-000932,Tesis,Tesis de pregrado
PUB-000933,Tesis,Tesis de pregrado
PUB-000934,Artículo,Artículo científico
PUB-000935,Artículo,Artículo científico
PUB-000936,Artículo,Artículo científico
PUB-000937,Artículo,Artículo científico
PUB-000938,Artículo,Artículo científico
PUB-000939,Artículo,Artículo científico
PUB-000940,Artículo,Artículo científico
PUB-000941,Artículo,Artículo científico
PUB-000942,Tesis,Tesis de posgrado no especificada
PUB-000943,Artículo,Artículo científico
PUB-000944,Artículo,Artículo científico
PUB-000945,Artículo,Artículo científico
PUB-000946,Tesis,Tesis de pregrado
PUB-000947,Tesis,Tesis de pregrado
PUB-000948,Tesis,Tesis de pregrado
PUB-000949,Tesis,Tesis de pregrado
PUB-000950,Tesis,Tesis de pregrado
PUB-000951,Tesis,Tesis de pregrado
PUB-000952,Artículo,Artículo científico
PUB-000953,Artículo,Artículo científico
PUB-000954,Artículo,Artículo científico
PUB-000955,Tesis,Tesis de posgrado no especificada
PUB-000956,Artículo,Artículo científico
PUB-000957,Artículo,Artículo científico
PUB-000958,Artículo,Artículo científico
PUB-000959,Artículo,Artículo científico
PUB-000960,Artículo,Artículo científico
PUB-000961,Artículo,Artículo científico
PUB-000962,Tesis,Tesis de posgrado no especificada
PUB-000963,Tesis,Tesis de pregrado
PUB-000964,Tesis,Tesis de pregrado
PUB-000965,Tesis,Tesis de pregrado
PUB-000966,Tesis,Tesis de pregrado
PUB-000967,Tesis,Tesis de pregrado
PUB-000968,Tesis,Tesis de pregrado
PUB-000969,Tesis,Tesis de posgrado no especificada
PUB-000970,Artículo,Artículo científico
PUB-000971,Artículo,Artículo científico
PUB-000972,Artículo,Artículo científico
PUB-000973,Artículo,Artículo científico
PUB-000974,Artículo,Artículo científico
PUB-000975,Tesis,Tesis de pregrado
PUB-000976,Tesis,Tesis de pregrado
PUB-000977,Tesis,Tesis de pregrado
PUB-000978,Artículo,Artículo científico
PUB-000979,Tesis,Tesis de pregrado
PUB-000980,Tesis,Tesis de pregrado
PUB-000981,Tesis,Tesis de pregrado
PUB-000982,Tesis,Tesis de pregrado
PUB-000983,Tesis,Tesis de pregrado
PUB-000984,Tesis,Tesis de pregrado
PUB-000985,Tesis,Tesis de pregrado
PUB-000986,Tesis,Tesis de pregrado
PUB-000987,Tesis,Tesis de pregrado
PUB-000988,Tesis,Tesis de pregrado
PUB-000989,Tesis,Tesis de pregrado
PUB-000990,Tesis,Tesis de pregrado
PUB-000991,Artículo,Artículo científico
PUB-000992,Tesis,Tesis de pregrado
PUB-000993,Artículo,Artículo científico
PUB-000994,Tesis,Tesis de posgrado no especificada
PUB-000995,Tesis,Tesis de pregrado
PUB-000996,Artículo,Artículo científico
PUB-000997,Tesis,Tesis de pregrado
PUB-000998,Tesis,Tesis de pregrado
PUB-000999,Artículo,Artículo científico
PUB-001000,Artículo,Artículo científico
PUB-001001,Artículo,Artículo científico
PUB-001002,Artículo,Artículo científico
PUB-001003,Artículo,Artículo científico
PUB-001004,Artículo,Artículo científico
PUB-001005,Tesis,Tesis de pregrado
PUB-001006,Tesis,Tesis de pregrado
PUB-001007,Artículo,Artículo científico
PUB-001008,Artículo,Artículo científico
PUB-001009,Tesis,Tesis de posgrado no especificada
PUB-001010,Tesis,Tesis de posgrado no especificada
PUB-001011,Artículo,Artículo científico
PUB-001012,Tesis,Tesis de posgrado no especificada
PUB-001013,Artículo,Artículo científico
PUB-001014,Artículo,Artículo científico
PUB-001015,Artículo,Artículo científico
PUB-001016,Artículo,Artículo científico
PUB-001017,Artículo,Artículo científico
PUB-001018,Artículo,Artículo científico
PUB-001019,Artículo,Artículo científico
PUB-001020,Artículo,Artículo científico
PUB-001021,Artículo,Artículo científico
PUB-001022,Artículo,Artículo científico
PUB-001023,Tesis,Tesis de posgrado no especificada
PUB-001024,Artículo,Artículo científico
PUB-001025,Artículo,Artículo científico
PUB-001026,Artículo,Artículo científico
PUB-001027,Artículo,Artículo científico
PUB-001028,Artículo,Artículo científico
PUB-001029,Artículo,Artículo científico
PUB-001030,Artículo,Artículo científico
PUB-001031,Tesis,Tesis de pregrado
PUB-001032,Tesis,Tesis de pregrado
PUB-001033,Artículo,Artículo científico
PUB-001034,Tesis,Tesis de pregrado
PUB-001035,Artículo,Artículo científico
PUB-001036,Artículo,Artículo científico
PUB-001037,Artículo,Artículo científico
PUB-001038,Artículo,Artículo científico
PUB-001039,Artículo,Artículo científico
PUB-001040,Tesis,Tesis de posgrado no especificada
PUB-001041,Artículo,Artículo científico
PUB-001042,Tesis,Tesis de posgrado no especificada
PUB-001043,Tesis,Tesis de pregrado
PUB-001044,Tesis,Tesis de pregrado
PUB-001045,Tesis,Tesis de pregrado
PUB-001046,Tesis,Tesis de pregrado
PUB-001047,Tesis,Tesis de pregrado
PUB-001048,Artículo,Artículo científico
PUB-001049,Tesis,Tesis de pregrado
PUB-001050,Artículo,Artículo científico
PUB-001051,Artículo,Artículo científico
PUB-001052,Tesis,Tesis de pregrado
PUB-001053,Tesis,Tesis de pregrado
PUB-001054,Artículo,Artículo científico
PUB-001055,Tesis,Tesis de pregrado
PUB-001056,Artículo,Artículo de revisión
PUB-001057,Tesis,Tesis de pregrado
PUB-001058,Artículo,Artículo científico
PUB-001059,Tesis,Tesis de pregrado
PUB-001060,Tesis,Tesis de pregrado
PUB-001061,Artículo,Artículo científico
PUB-001062,Tesis,Tesis de pregrado
PUB-001063,Tesis,Tesis de pregrado
PUB-001064,Artículo,Artículo científico
PUB-001065,Artículo,Artículo científico
PUB-001066,Artículo,Artículo científico
PUB-001067,Tesis,Tesis de pregrado
PUB-001068,Tesis,Tesis de pregrado
PUB-001069,Tesis,Tesis de pregrado
PUB-001070,Tesis,Tesis de pregrado
PUB-001071,Tesis,Tesis de pregrado
PUB-001072,Tesis,Tesis de pregrado
PUB-001073,Artículo,Artículo científico
PUB-001074,Tesis,Tesis de pregrado
